p_evap,dT_cd,net_power,T_injection>=70,evap_brine_pinch>=5,evap_brine_pinch<=37,T_injection,evap_steam_UA,evap_brine_UA,evap_steam_pinch,evap_brine_pinch,thermal_efficiency
5.300866356917855,28.183264828096654,5.726774156477635,-71.82267079844485,-44.11630895473979,12.116308954739793,141.82267079844485,760569.5819474008,5633.137579990721,49.11630895473979,49.11630895473979,0.1110322972928558
3.2930393649897853,19.354825932235016,4.3268142601601935,-76.74826938026598,-64.27232215985737,32.27232215985737,146.74826938026598,539895.6677142708,3998.722335553213,69.27232215985737,69.27232215985737,0.09057185350227559
2.5867643705662475,14.38375895259652,3.678599948664802,-78.50118877287338,-73.62904187346214,41.62904187346214,148.50118877287338,475809.60110744537,3524.0706551213457,78.62904187346214,78.62904187346214,0.0792540764156392
5.752503626936194,17.548593702698525,7.158970736161567,-67.4956948192854,-40.40608432522396,8.406084325223958,137.4956948192854,822449.0529151806,6091.446170831331,45.40608432522396,45.40608432522396,0.13037190797558704
11.590260213643115,28.222671792631814,10.577670643683716,-53.268870591687346,-5.206783681289664,-26.793216318710336,123.26887059168735,3605364.9744991832,26703.036000246186,10.206783681289664,10.206783681289664,0.1606934977415893
10.404630650019381,28.74393765198147,9.713728524291584,-56.74421374215234,-11.054780893411873,-20.945219106588127,126.74421374215234,2307886.579803427,17093.298143424876,16.054780893411873,16.054780893411873,0.15378155070815244
4.576476453464399,14.51132995388188,6.202148358213214,-70.68915302707364,-50.59445451432816,18.594454514328163,140.68915302707364,672256.9320182602,4979.052380013829,55.59445451432816,55.59445451432816,0.1182447464183282
7.183872740520429,26.3960016174902,7.568401435265548,-65.40794352098288,-29.923361519562263,-2.0766384804377367,135.40794352098288,1067935.539681216,7909.635047700303,34.92336151956226,34.92336151956226,0.13391126720386642
2.691303783625088,12.784009619522859,3.9207500660228862,-77.63849665158813,-72.13042498853213,40.13042498853213,147.63849665158813,485030.85625739174,3592.3676264344035,77.13042498853213,77.13042498853213,0.08327272173646284
3.4580633836156807,26.61545436545964,3.877218917818397,-77.96763572342525,-62.3095700264617,30.3095700264617,147.96763572342525,555593.1242336434,4114.9851132508675,67.3095700264617,67.3095700264617,0.08279624322217063
9.484003215614063,20.72113991846902,9.916234448388677,-57.06103126528956,-15.945710190141654,-16.054289809858346,127.06103126528956,1773978.4605364238,13138.92241989887,20.945710190141654,20.945710190141654,0.15759283570603239
2.9369709337045515,16.08483192312088,4.091864259154649,-77.39268027283117,-68.77551623282591,36.77551623282591,147.39268027283117,507028.66930320393,3755.2938205486857,73.77551623282591,73.77551623282591,0.08655722545518431
5.058047638823394,17.314273409678044,6.504459084189054,-69.74528623930485,-46.20961686653584,14.209616866535839,139.74528623930485,729598.6525461817,5403.752247684186,51.20961686653584,51.20961686653584,0.12231176079424788
6.410033378245316,15.55143970964004,7.9084919606292985,-64.85580225474672,-35.37473423118598,3.3747342311859825,134.85580225474672,924442.5388353538,6846.85810431951,40.37473423118598,40.37473423118598,0.138885537537111
2.858073275519401,19.154966545638445,3.743681054846462,-78.50021387732477,-69.82891715738236,37.828917157382364,148.50021387732477,499909.7388771629,3702.5676591771016,74.82891715738236,74.82891715738236,0.08065491277382913
10.311427251995669,20.065509966272415,10.576347191312575,-54.50427640696989,-11.535014785848148,-20.464985214151852,124.5042764069699,2241642.0240467847,16602.65967278302,16.535014785848148,16.535014785848148,0.16301339292281894
2.6482629767359387,17.54926378545663,3.558577980331952,-79.01213781471381,-72.74196967240903,40.74196967240903,149.0121378147138,481225.0850161148,3564.180286960225,77.74196967240903,77.74196967240903,0.07732762229193808
10.467426005598552,17.765291172184618,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
1.9472684317458353,10.023905408814272,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
8.300004120699578,24.214719870001375,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
5.101307255527923,16.289810629934593,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
7.767297220834625,11.868844436717744,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
9.868975126567012,24.971274523336078,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.470975140334948,17.143801044706663,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
8.865430793586366,15.565100129324883,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
2.5628116552756657,22.402407466641378,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
6.438514917259214,22.9322777222266,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
2.214591947610052,20.212664812313953,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
8.872097272134994,19.416653322536845,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
4.23056788605353,19.769559140818174,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.516788989867148,10.55337232920219,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
9.470526519300126,15.31192271630809,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
5.2157359656424775,14.614604185041863,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
6.787480919647653,23.939167425701385,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
11.025615616266496,20.73985740180514,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
7.571319059657564,21.43810305050799,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.366269972580438,10.044453377093063,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
2.135374401795481,12.432256162381645,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
6.105848154609243,20.376534096911257,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.763315866443738,13.767409610157337,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
11.374176798057249,16.659722270305828,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
3.2930393649897853,18.046997035016574,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
6.3002700892778485,14.38375895259652,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
8.890406593707509,17.548593702698525,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.766640629181119,28.222671792631814,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.404630650019381,19.87181462159375,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
4.576476453464399,13.424559225483875,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
7.183872740520429,22.775819466774294,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
9.701159316656359,12.784009619522859,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
3.4580633836156807,22.092337887677182,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
10.65351221707665,20.72113991846902,10.902134167803235,-53.40360224060612,-10.733015863895957,-21.266984136104043,123.40360224060612,2354506.4320116797,17438.58678982933,15.733015863895957,15.733015863895957,0.16588230062651585
