fluid,cooling_fluid,T_geo,m_geo,x_steam,T_amb,P_amb,p_evap_opt,net_power_opt,T_injection_opt,constrained,dT_cd
n-Pentane,air,160,180,0.1,15,0.6,15.919999999999932,14.17406918647993,91.11968969728338,True,11.470838162029551
Isopentane,air,160,180,0.1,15,0.6,18.655026602818406,14.92576514211558,81.06810642833494,True,10.392501002278948
Cyclopentane,air,160,180,0.1,15,0.6,10.467426005598552,10.902134167803235,123.40360224060612,True,17.765291172184618
Isobutane,air,160,180,0.1,15,0.6,29.741207421906285,12.657463337331194,70.0217443482016,True,13.61726775464134
