fluid,cooling_fluid,T_geo,m_geo,x_steam,T_amb,P_amb,dT_pp_evap,dT_pp_cond,dT_ap_pre,p_evap_opt,p_ratio_crit,net_power_opt,T_injection_opt,thermal_efficiency,constrained,dT_cd
n-Pentane,air,160,180,0.1,15,0.6,8,10,0,13.18915186179987,0.39165783125248615,14.78393702957904,78.83328872350495,0.14849358847972352,True,10.899667215839798
Isopentane,air,160,180,0.1,15,0.6,8,10,0,17.52928318545184,0.5189249018783848,15.436826510932859,75.17983348114353,0.15087231516063673,True,11.54937942575274
Cyclopentane,air,160,180,0.1,15,0.6,8,10,0,8.196536987552044,0.17885586124075314,13.234876568187234,97.23184774786893,0.15453778858708672,True,10.451168634397355
n-Butane,air,160,180,0.1,15,0.6,8,10,0,7.56731578452692,0.19934973088848576,2.3821714649457415,70.02540992954084,0.02242990523787928,True,29.980023237220607
