fluid,cooling_fluid,T_geo,m_geo,x_steam,T_amb,P_amb,dT_pp_evap,dT_pp_cond,dT_ap_pre,p_evap_opt,p_ratio_crit,net_power_opt,T_injection_opt,thermal_efficiency,constrained,dT_cd
n-Pentane,air,160,180,0.1,15,0.6,10,10,5,13.347850340068339,0.39637045435918655,14.532580568395806,81.66912073629464,0.14917808814264688,True,11.111350214210866
Isopentane,air,160,180,0.1,15,0.6,10,10,5,17.49827878825032,0.518007068923929,15.021847979276814,78.8256157596366,0.150874446330689,True,11.688088602773291
Cyclopentane,air,160,180,0.1,15,0.6,10,10,5,8.684058942169282,0.1894940318729683,13.254689681618329,99.50575176627035,0.1579491872134145,True,10.767783363228709
n-Butane,air,160,180,0.1,15,0.6,10,10,5,11.850765226193573,0.3121908647574703,6.854534417200799,70.00917994373327,0.06453307246283575,True,29.935916606664563
