p_evap,dT_cd,net_power,T_injection>=70,T_injection,p_ratio_crit,T_turbine_in,T_preheater_out,m_workingfluid,evap_steam_UA,evap_brine_UA,preheater_UA,evap_steam_pinch,evap_brine_pinch,preheater_ttd_min,thermal_efficiency
12.68429020755411,13.565033291760415,14.453611940829159,-10.953847272113933,80.95384727211393,0.3766657360323881,137.35490774702436,132.35490774702453,191.0108152440356,1507686.5953413437,796452.5671869288,1974543.173139752,22.645092253204723,10.0,11.73321381758285,0.1475491052358354
6.64827437415096,17.740343873643845,11.94887315672038,1.946444651947047,68.05355534805295,0.19742351519153015,105.16105674868788,100.16105674868902,236.76585557244283,656730.4573149843,1309863.0565878327,1750461.3335568332,54.838943251541195,10.0,14.994580355861444,0.11095438716247298
8.668284358788057,22.84544342385027,12.433006907431565,-5.755462504170623,75.75546250417062,0.2574086255292746,117.74124886157313,112.74124886157426,219.55392351259704,842427.3627073906,1156113.4003661585,1837279.149940201,42.25875113865595,10.0,13.717756372165411,0.1220324804570556
10.412153949667378,27.735357059728898,12.313717688147271,-12.686086156143176,82.68608615614318,0.3091936219496395,126.94641931699499,121.94641931699601,206.45267102206188,1062315.6153157738,1012868.746080367,1849022.7288834606,33.05358068323409,10.0,12.7850673576512,0.12740614262889532
6.119295322482902,11.834521788414921,12.103142649118908,7.0913519610065805,62.90864803899342,0.18171524294436872,101.40129900647054,96.40129900647167,241.77578262122742,616147.0863296156,1349239.9597589483,1790067.8157081318,58.59870099375854,10.0,15.37642409141273,0.1084814385043503
13.421917006225868,19.746619928210535,13.894302717857785,-16.12157912688508,86.12157912688508,0.3985698975181799,140.43327916292606,135.43327916292623,186.29581772397543,1721396.444002568,714397.0293320419,1922303.727144202,19.566720837303023,10.0,11.422867329465646,0.14772902983971606
15.308838267313414,28.455650700979994,12.755886057093024,-25.529909591505657,95.52990959150566,0.4546028780013466,147.76957643345577,142.76957643345696,174.74447454003592,2602684.852999789,457319.9863736945,1831210.8142822327,12.230423566773311,10.0,10.684972384176774,0.14673480485989868
6.369224168664317,21.34570081183785,11.134955822950472,0.027142897998260196,69.97285710200174,0.18913699309847537,103.20668861449906,98.20668861449792,239.37717917599264,634989.2646944412,1330645.45647234,1651587.6877367955,56.79331138573002,10.0,15.19306022830699,0.10480473694700196
10.499419460758606,9.379933637659754,14.198749986324323,-2.5730065749074242,72.57300657490742,0.31178501078004045,127.37594964020502,122.37594964020604,205.8294213247024,1075417.8025022626,1005295.9402968292,2025037.517554858,32.62405036002406,10.0,12.741594538536674,0.1361548063783134
15.157493950800273,11.80147142058447,14.437927541182983,-17.417314256886527,87.41731425688653,0.45010864005496226,147.2069745359493,142.20697453595034,175.64717049025293,2504118.913453354,481446.3497002125,1918966.2167361637,12.793025464279765,10.0,10.74146547323187,0.15512513775923584
14.818454090692674,25.54888656960169,13.156743089512005,-22.80735938930269,92.80735938930269,0.44004069802887297,145.93117670649667,140.93117670649775,177.68339508829365,2306245.6655284916,532785.0982982286,1859023.5690612928,14.068823293732407,10.0,10.869634420424632,0.1478388414513182
7.85405334397155,24.520176291125388,11.711637682302188,-5.0606360230067935,75.0606360230068,0.23322966718964225,112.96399391476979,107.9639939147686,226.17674635795956,760733.5739463677,1219100.8202646659,1756848.1575966391,47.03600608545929,10.0,14.202410568226128,0.11436352821943231
8.963979070093337,5.373662960057885,12.453761381336012,3.967333004307875,66.03266699569213,0.26618941375251765,119.3935169108097,114.39351691081083,217.2365566044266,874927.3362595987,1132736.674628475,2047357.4851139009,40.606483089419385,10.0,13.55021704709452,0.11402984377458501
9.4200174326662,19.21587181333159,13.285194791024244,-5.322676092846507,75.3226760928465,0.279731679238939,121.8640634447624,116.86406344476336,213.74445615545523,928492.5154801701,1096037.8066129459,1914267.5266765612,38.135936555466685,10.0,13.29979991151356,0.12998020718383624
9.325080584981801,29.445996520560655,11.633737313148357,-11.281757138652495,81.2817571386525,0.2769124865979237,121.35719814497668,116.35719814497543,214.46360968009634,916974.2119729778,1103747.5866563772,1784944.1974243275,38.6428018552524,10.0,13.351166376247477,0.11906359094835016
5.230825215836129,7.938056308843326,10.930942230701026,11.738610190137251,58.26138980986275,0.15533172118738642,94.49987745465751,89.49987745465631,250.83045974097706,553380.4671296026,1415559.5564317338,1738457.9857691,65.50012254557157,10.0,16.077408141958585,0.09499482257978473
9.141989021823505,29.6562516037636,11.515797834575196,-11.023482793968128,81.02348279396813,0.27147549980009184,120.36874478906964,115.3687447890706,215.86201529527656,895315.4702042126,1118510.3873164621,1771895.6711268136,39.63125521115944,10.0,13.451352655346852,0.11762170826679992
14.343849166188802,11.805763114423051,14.500126006977327,-14.962745674581356,84.96274567458136,0.42594709008647647,144.10798595334865,139.10798595334745,180.56797240019745,2072504.3808354128,599260.6203156803,1944743.0465170913,15.892014046880433,10.0,11.052937490807722,0.15274751405853723
15.120384532975153,17.438033622269472,14.092691282163742,-19.87461846731685,89.87461846731685,0.44900665910450216,147.06838226528993,142.06838226528885,175.8690909624177,2480982.249254075,487242.311843598,1893929.994068467,12.931617734939152,10.0,10.755384628340835,0.15450173982338
5.215807289028424,15.366751230984995,10.831808043998276,6.438212206485218,63.56178779351478,0.15488575705678528,94.37592360609511,89.37592360609642,250.9915033187608,552369.873570244,1416687.84631945,1588812.5592495059,65.62407639413397,10.0,16.089997982565592,0.09751643902287953
15.010609500838317,5.886272033723007,13.510177307434173,-14.299456911557968,84.29945691155797,0.44574683986344005,146.6569069505386,141.65690695053974,176.5269226587799,2414760.024850955,504125.2044437314,1949549.094167022,13.34309304969048,10.0,10.796715974157564,0.1415714680613653
7.54198484686684,19.61254978432879,12.316078545130278,-1.204883997954255,71.20488399795425,0.22396265198965393,111.0351571623334,106.03515716233329,228.81966317661588,732073.1692417898,1242812.0577833275,1806281.740805655,48.964842837895674,10.0,14.398176755326972,0.11694433657132064
10.078095616074236,25.231392722472428,12.608905134390485,-10.4425587818086,80.4425587818086,0.2992736086070185,125.27698939273898,120.27698939273989,208.86444937560748,1014290.5567126342,1041446.5102773424,1867276.1564566176,34.723010607490096,10.0,12.9540761177999,0.12821203753264052
8.938831009766568,18.638857755223555,13.179776864292457,-3.8094315178639704,73.80943151786397,0.26544263072423846,119.25458571432932,114.25458571433046,217.43196275457018,872098.2292110437,1134736.859081637,1903415.77374419,40.745414285899756,10.0,13.56430274038945,0.12752423799593265
11.485583173050657,13.9364122083411,14.33011832438748,-7.771407105412095,77.7714071054121,0.34106958835283196,132.05459771587255,127.05459771587323,198.96539367434863,1242361.6560197785,916131.1457466349,1986256.780966711,27.945402284356533,10.0,12.26840915745322,0.1427855248333034
9.684444313413064,9.020169459009068,13.96596159910353,-0.11207272592838535,70.11207272592839,0.28758395508831597,123.25609647926791,118.25609647926893,211.7620553394715,961669.4958647756,1074353.1783097035,2023489.3278213441,36.74390352096117,10.0,13.158757382042324,0.13158081070646904
13.662917846762298,25.262271247618393,13.189765665564071,-19.52529697697554,89.52529697697554,0.4057265265056668,141.41165354528295,136.41165354528408,184.78168536631497,1802658.5080471793,685816.4431481296,1882529.5354654568,18.588346454946134,10.0,11.324315750668177,0.14418490834319542
14.19936214106601,28.584365396159782,12.745455483706115,-22.60462872973801,92.60462872973801,0.42165648251013804,143.54398098849612,138.54398098849725,181.45444813466824,2009547.4093471586,618420.3041080948,1852364.8587371341,16.456019011732963,10.0,11.109675069194793,0.142970696069661
15.120795347428029,25.506196216763662,13.152417065996937,-23.624078259447572,93.62407825944757,0.449018858425531,147.06991792708135,142.0699179270801,175.86663296033626,2481236.252667797,487178.3984227944,1852143.6468571231,12.93008207314773,10.0,10.755230392637827,0.14882454754530636
13.279424498264827,25.128501519764882,13.190082001537684,-18.435093623679904,88.4350936236799,0.3943385180312708,139.84862561443992,134.8486256144398,187.19697209923066,1676253.5922840897,730855.6206878712,1888500.75183935,20.151374385789154,10.0,11.481779138418915,0.1428999149875063
7.851922776094839,11.152892204246356,13.340239014282178,3.4415335989223763,66.55846640107762,0.23316639901268343,112.95102024043194,107.95102024043314,226.19458113669543,760533.2995672879,1219263.3953087407,1944284.1977657562,47.048979759797135,10.0,14.203727178883128,0.12259145880459837
14.224201874379379,25.89670810027436,13.115676259332869,-21.351085063956873,91.35108506395687,0.4223941096282685,143.64124758292002,138.641247582919,181.30176381241793,2020128.998375477,615159.23749518,1869137.46665817,16.358752417309063,10.0,11.099889199917016,0.1455738823790325
6.537358506863095,16.96571468651237,11.96651067958928,2.703268983169835,67.29673101683017,0.19412981833454926,104.39170306412092,99.39170306411961,237.7956899024201,647996.4424271153,1318128.1035943495,1751167.8898460856,55.60829693610816,10.0,15.07271144236887,0.11053264052998614
