fluid,T_inj,T_geo,x_steam,m_geo,cooling_fluid,T_amb,P_amb,p_evap_opt,net_power_opt,T_injection_opt,constrained,CV
Isopentane,70,190.0,0.1,180,air,15,0.6,26.092410915525505,21.026299559740302,69.99608816527359,True,0.0
Isopentane,70,210.0,0.1,180,air,15,0.6,26.789999999999925,21.20618887698593,88.88153339179667,True,0.0
Isopentane,70,220.0,0.1,180,air,15,0.6,26.78999999999995,20.754931917125205,102.3377256855781,True,0.0
Isopentane,70,230.0,0.1,180,air,15,0.6,26.78999999999999,20.278256374669485,116.03636383008632,True,0.0
Isopentane,100,150.0,0.1,180,air,15,0.6,13.08213676983802,10.332542347876164,100.00454607563631,True,0.0
Isopentane,100,160.0,0.1,180,air,15,0.6,15.660965951031294,12.046104891432249,99.99512628471518,True,0.0
Isopentane,100,170.0,0.1,180,air,15,0.6,18.087804376181012,13.67616052055935,99.99738632569148,True,0.0
Isopentane,100,180.0,0.1,180,air,15,0.6,20.31428417573037,15.240092395479778,99.99989141733181,True,0.0
Isopentane,100,190.0,0.1,180,air,15,0.6,22.318568890958588,16.752276262660907,99.99735001248138,True,0.0
Isopentane,100,200.0,0.1,180,air,15,0.6,24.095824593835857,18.22306211230168,99.99836029572452,True,0.0
Isopentane,100,220.0,0.1,180,air,15,0.6,26.789999999999996,20.754931917125152,102.33929498271175,True,0.0
Isopentane,100,230.0,0.1,180,air,15,0.6,26.78999999999999,20.278256374669418,116.03005258151819,True,0.0
Isopentane,100,210.0,0.1,180,air,15,0.6,25.654245419736004,19.661590639003386,99.9950097207381,True,0.0
Cyclopentane,70,150.0,0.1,180,air,15,0.6,9.729999999999885,10.314730229987147,115.50120827584698,True,0.0
Cyclopentane,70,160.0,0.1,180,air,15,0.6,11.719999999999821,11.561669966801091,120.48861872337233,True,0.0
Cyclopentane,70,170.0,0.1,180,air,15,0.6,13.989999999999991,12.875466827450424,124.99345550529529,True,0.0
Cyclopentane,70,180.0,0.1,180,air,15,0.6,16.57,14.288904045131508,128.8480784772267,True,0.0
Cyclopentane,70,190.0,0.1,180,air,15,0.6,19.499999999999865,15.854949587394824,131.76289917031744,True,0.0
Cyclopentane,70,200.0,0.1,180,air,15,0.6,22.799999999999983,17.64226311775178,133.3413265053216,True,0.0
Cyclopentane,70,210.0,0.1,180,air,15,0.6,26.49999999999995,19.784654213369326,132.80685152511768,True,0.0
Cyclopentane,70,220.0,0.1,180,air,15,0.6,30.65999999999998,22.583088088806043,128.39911103520586,True,0.0
Cyclopentane,70,230.0,0.1,180,air,15,0.6,35.339999999999996,26.814564854901114,115.42741132599537,True,0.0
Cyclopentane,100,150.0,0.1,180,air,15,0.6,9.729999999999986,10.314730229987168,115.49916880011659,True,0.0
Cyclopentane,100,160.0,0.1,180,air,15,0.6,11.719999999999938,11.561669966801155,120.48923944425144,True,0.0
Cyclopentane,100,170.0,0.1,180,air,15,0.6,13.989999999999185,12.875466827449557,124.99547394969903,True,0.0
Cyclopentane,100,180.0,0.1,180,air,15,0.6,16.56999999999995,14.288904045131364,128.8464063314371,True,0.0
Cyclopentane,100,190.0,0.1,180,air,15,0.6,19.499999999999947,15.854949587394872,131.76246300893104,True,0.0
Cyclopentane,100,200.0,0.1,180,air,15,0.6,22.799999999999944,17.642263117751753,133.33964470794615,True,0.0
Cyclopentane,100,210.0,0.1,180,air,15,0.6,26.49999999999993,19.784654213369453,132.8070188528141,True,0.0
Cyclopentane,100,220.0,0.1,180,air,15,0.6,30.65999999999991,22.58308808880604,128.3952165383463,True,0.0
Cyclopentane,100,230.0,0.1,180,air,15,0.6,35.33999999999998,26.81456485490119,115.42578794837766,True,0.0
n-Butane,70,160.0,0.1,180,air,15,0.6,29.639999999999564,13.991227592902105,72.85996907332913,True,0.0
n-Butane,70,150.0,0.1,180,air,15,0.6,28.31944794089597,13.142828078609787,70.00416351292546,True,0.0
n-Butane,70,170.0,0.1,180,air,15,0.6,29.639999999999915,13.777186175255828,84.53578386981764,True,0.0
n-Butane,70,180.0,0.1,180,air,15,0.6,29.63999999999996,13.553456425501405,96.33366037156134,True,0.0
n-Butane,70,190.0,0.1,180,air,15,0.6,29.64,13.319105206927931,108.2522753977662,True,0.0
n-Butane,70,200.0,0.1,180,air,15,0.6,29.63999999999996,13.073124514593976,120.30020746717605,True,0.0
n-Butane,70,210.0,0.1,180,air,15,0.6,29.639999999999972,12.814408185269489,132.48193194848614,True,0.0
n-Butane,70,220.0,0.1,180,air,15,0.6,29.639999999999894,12.54172406868243,144.81955380874848,True,0.0
n-Butane,70,230.0,0.1,180,air,15,0.6,29.639999999999887,12.25368009206804,157.3131703118051,True,0.0
n-Butane,100,150.0,0.1,180,air,15,0.6,21.719405377122182,9.15402773653453,99.99889486620032,True,0.0
n-Butane,100,160.0,0.1,180,air,15,0.6,24.58972766461234,10.56066770052573,99.99552514748706,True,0.0
n-Butane,100,170.0,0.1,180,air,15,0.6,27.036192389455138,11.873326062245447,99.99441706103153,True,0.0
n-Butane,100,190.0,0.1,180,air,15,0.6,29.63999999999998,13.319105206927944,108.24864990363415,True,0.0
n-Butane,100,200.0,0.1,180,air,15,0.6,29.639999999999986,13.073124514593905,120.30128306026938,True,0.0
n-Butane,100,180.0,0.1,180,air,15,0.6,29.0821629313213,13.111860537044677,100.0079376213904,True,0.0
n-Butane,100,220.0,0.1,180,air,15,0.6,29.63999999999979,12.541724068682376,144.82145985426087,True,0.0
n-Butane,100,230.0,0.1,180,air,15,0.6,29.64,12.253680092068208,157.3101920388737,True,0.0
n-Butane,100,210.0,0.1,180,air,15,0.6,29.639999999999972,12.814408185269636,132.4858688177772,True,0.0
