fluid,T_inj,T_geo,x_steam,m_geo,cooling_fluid,T_amb,P_amb,dT_cd,dT_pp_evap,dT_pp_cond,dT_ap_pre,p_evap_opt,net_power_opt,T_injection_opt,p_ratio_crit,T_turbine_in,T_preheater_out,m_workingfluid,preheater_ttd_min,evap_steam_pinch,evap_brine_pinch,thermal_efficiency,p_lo,p_hi,constrained,CV
n-Pentane,75,180.0,0.1,180,air,15,0.6,15,10,10,5,20.21331931501193,18.914912911770266,79.82860298232498,0.6002436614791696,164.0745557394946,159.07455573949346,208.2993904321061,11.053075245192872,15.92544426057782,10.0,0.1669487014660551,5.051,21.555,True,0.0
Isopentane,65,140.0,0.1,180,air,15,0.6,15,10,10,5,12.646999999911943,11.130192402422548,83.4568398132775,0.37439313202818064,127.99987871801505,122.99987871801511,172.9216871057361,10.665524745949313,12.000121281880126,10.0,0.13625225800811944,5.067,12.647,True,0.0
Isopentane,65,150.0,0.1,180,air,15,0.6,15,10,10,5,14.603329640774646,12.875533897648525,82.11070978998816,0.4323069757482133,135.863057072083,130.8630570720818,185.95566389860213,10.87821204974125,14.136942927857433,10.0,0.1432477617749407,5.067,15.172,True,0.0
Isopentane,65,170.0,0.1,180,air,15,0.6,15,10,10,5,21.34099999999857,17.31985489406494,76.19465221384934,0.6317643576080098,158.00087488688735,153.0008748868862,213.47079111951496,10.659864873012282,11.99912511302449,10.0,0.1592194404060089,5.067,21.341,True,0.0
Isopentane,65,160.0,0.1,180,air,15,0.6,15,10,10,5,17.314382941859474,14.879358538137582,80.08453126785855,0.5125631421509613,145.54858338064224,140.5485833806411,198.86808355011115,10.908086603750519,14.451416619586837,10.0,0.1508839906352066,5.067,18.057,True,0.0
Isopentane,75,140.0,0.1,180,air,15,0.6,15,10,10,5,12.646999999993644,11.13019240242277,83.45683981353704,0.37439313203059926,127.99987871836191,122.99987871836186,172.92168710513837,10.66552474591407,12.000121281533268,10.0,0.13625225800844282,5.067,12.647,True,0.0
Isopentane,75,150.0,0.1,180,air,15,0.6,15,10,10,5,14.603329464675767,12.875533897648692,82.11070931997864,0.4323069705351026,135.8630564007085,130.8630564007073,185.95566498300713,10.878212117168573,14.136943599231927,10.0,0.1432477612089799,5.067,15.172,True,0.0
Isopentane,75,160.0,0.1,180,air,15,0.6,15,10,10,5,17.31438270640242,14.879358538137629,80.08453076531646,0.5125631351806518,145.5485825907772,140.548582590776,198.8680847030372,10.908086683138606,14.451417409451892,10.0,0.1508839900545106,5.067,18.057,True,0.0
Isopentane,75,170.0,0.1,180,air,15,0.6,15,10,10,5,21.34099999999991,17.319854894064935,76.1946522138528,0.6317643576080494,158.00087488689127,153.00087488689007,213.47079111951123,10.659864873009383,11.999125113020568,10.0,0.1592194404060122,5.067,21.341,True,0.0
Cyclopentane,65,140.0,0.1,180,air,15,0.6,15,10,10,5,6.811646945167455,10.074044033730303,98.29017921468665,0.14863630612490233,122.1172391807072,117.11723918070766,140.948574526568,11.256148068372568,17.88276081918798,10.0,0.14297734023388814,3.844,7.688,True,0.0
Cyclopentane,65,150.0,0.1,180,air,15,0.6,15,10,10,5,7.62246863485423,11.486243501838393,99.49237005664799,0.16632916981134097,127.58021746193265,122.58021746193384,151.30922619378072,11.71145133482537,22.41978253800778,10.0,0.14970564293975672,4.682,9.365,True,0.0
Cyclopentane,65,160.0,0.1,180,air,15,0.6,15,10,10,5,8.532750025089854,13.015384246714053,100.34316764290003,0.18619233425130854,133.2218178453919,128.22181784539202,161.87607532443212,12.15046548382361,26.778182154837168,10.0,0.15628056435177143,5.649,11.298,True,0.0
Cyclopentane,65,170.0,0.1,180,air,15,0.6,15,10,10,5,9.561216580948274,14.670708901819951,100.8159722823442,0.20863440605367176,139.08290863270014,134.08290863270065,172.66213102742427,12.569300238494577,30.917091367211697,10.0,0.16273018850639634,6.756,13.512,True,0.0
Cyclopentane,65,180.0,0.1,180,air,15,0.6,15,10,10,5,10.733398240190274,16.46392667216257,100.87901433554077,0.23421247158460726,145.2194708798196,140.21947087981857,183.67976697138724,12.962489432106281,34.78052912025282,10.0,0.16908849171399284,6.874,16.032,True,0.0
Cyclopentane,65,190.0,0.1,180,air,15,0.6,15,10,10,5,12.085861215225066,18.41023969792587,100.49437777074132,0.26372443871944024,151.71218538060572,146.71218538060452,194.9377963055929,13.32197507951929,38.287814619310154,10.0,0.17539980064433378,6.874,18.886,True,0.0
Cyclopentane,65,200.0,0.1,180,air,15,0.6,15,10,10,5,13.674552881421553,20.53009881190553,99.61728509099618,0.2983911298641407,158.68528846558775,153.68528846558638,206.43470294276096,13.635109770933639,41.31471153447029,10.0,0.1817274319751173,6.874,22.105,True,0.0
Cyclopentane,65,230.0,0.1,180,air,15,0.6,15,10,10,5,21.482836161073244,28.32302354091037,93.69721239406516,0.46877494353018107,186.157378857288,181.15737885728856,241.27530692577267,13.91419464345313,43.84262114271576,10.0,0.2025565419490812,6.874,34.361,True,0.0
